City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
394,Bandarbeyla,9.4942,50.8122,76.21,64,5,16.08,SO,2021-12-05 22:49:55
395,Araouane,18.9048,-3.5265,62.91,14,62,11.16,ML,2021-12-05 22:49:55
396,Livny,52.4253,37.6069,27.68,68,100,4.97,RU,2021-12-05 22:49:56
397,Tommot,58.9564,126.2925,0.19,85,100,9.75,RU,2021-12-05 22:49:56
398,Yulara,-25.2406,130.9889,69.64,68,40,12.66,AU,2021-12-05 22:49:56
399,Walvis Bay,-22.9575,14.5053,61.75,72,0,3.44,NA,2021-12-05 22:49:56
400,Olafsvik,64.8945,-23.7142,41.23,90,100,7.11,IS,2021-12-05 22:49:57
401,Bojnurd,37.4747,57.329,35.55,75,0,2.3,IR,2021-12-05 22:46:07
402,Lata,40.1629,-8.3327,53.82,95,47,2.8,PT,2021-12-05 22:49:57
403,Ostrovnoy,68.0531,39.5131,9.59,73,83,23.38,RU,2021-12-05 22:49:57
404,Maltahohe,-24.8333,16.9833,60.19,40,0,5.84,NA,2021-12-05 22:49:58
405,Anchorage,61.2181,-149.9003,25.32,85,90,1.01,US,2021-12-05 22:45:10
406,Vila Franca Do Campo,37.7167,-25.4333,64.2,85,37,3.8,PT,2021-12-05 22:49:58
407,Ubinskoye,55.3068,79.6802,24.48,93,54,12.84,RU,2021-12-05 22:49:58
408,Goderich,43.7501,-81.7165,31.91,93,100,17.27,CA,2021-12-05 22:49:59
409,Ampanihy,-24.7,44.75,73.2,74,0,4.68,MG,2021-12-05 22:49:59
410,Motygino,58.1831,94.7592,26.71,97,100,8.48,RU,2021-12-05 22:49:59
411,Ahuimanu,21.4447,-157.8378,73.11,70,69,9.86,US,2021-12-05 22:45:47
412,Tabou,4.423,-7.3528,80.42,81,17,7.94,CI,2021-12-05 22:51:00
413,Bakel,14.905,-12.4568,81.19,13,97,12.01,SN,2021-12-05 22:51:00
414,Jumla,29.2747,82.1838,40.21,86,71,2.91,NP,2021-12-05 22:51:00
415,General Roca,-39.0333,-67.5833,89.62,16,0,11.3,AR,2021-12-05 22:51:00
416,Pictou,45.6834,-62.7153,31.44,64,30,19.57,CA,2021-12-05 22:51:01
417,Havoysund,70.9963,24.6622,29.28,94,99,31.21,NO,2021-12-05 22:51:01
418,Inzhavino,52.3185,42.4937,27.88,64,87,4.74,RU,2021-12-05 22:51:01
419,Edd,13.9297,41.6925,79.68,55,0,16.84,ER,2021-12-05 22:51:02
420,Boende,-0.2167,20.8667,71.8,90,100,2.37,CD,2021-12-05 22:51:02
421,Teguldet,57.3064,88.1667,31.5,92,100,13.44,RU,2021-12-05 22:51:02
422,Ugoofaaru,5.6667,73.0,81.88,75,46,9.75,MV,2021-12-05 22:51:03
423,Padang,-0.9492,100.3543,73.45,86,99,3.91,ID,2021-12-05 22:51:03
424,Bengkulu,-3.8004,102.2655,74.98,88,94,6.49,ID,2021-12-05 22:51:03
425,Curitibanos,-27.2828,-50.5844,59.65,99,70,2.8,BR,2021-12-05 22:51:03
426,Puerto Del Rosario,28.5004,-13.8627,65.95,72,40,23.02,ES,2021-12-05 22:51:04
427,Statesboro,32.4488,-81.7832,69.12,77,1,0.0,US,2021-12-05 22:51:04
428,Chiredzi,-21.05,31.6667,77.52,59,15,7.94,ZW,2021-12-05 22:51:04
429,Kharabali,47.4196,47.2568,45.1,95,100,8.84,RU,2021-12-05 22:51:05
430,Jishui,33.7333,115.4,42.03,40,0,6.44,CN,2021-12-05 22:51:05
431,Florida,28.7505,-82.5001,73.02,77,1,3.44,US,2021-12-05 22:51:05
432,Kavaratti,10.5669,72.642,80.69,72,60,12.48,IN,2021-12-05 22:51:05
433,La Ronge,55.1001,-105.2842,-10.95,64,20,4.61,CA,2021-12-05 22:51:06
434,Santa Rosa,14.3122,121.1114,73.85,74,78,7.49,PH,2021-12-05 22:51:06
435,Nakusp,50.2499,-117.8023,30.54,43,20,3.44,CA,2021-12-05 22:51:06
436,Roald,62.5833,6.1333,37.33,69,75,16.11,NO,2021-12-05 22:51:07
437,Sfantu Gheorghe,45.8667,25.7833,43.27,85,92,3.29,RO,2021-12-05 22:46:28
